Opportunity ID,Account Name,Booking ARR,Stage,Probability,Close Date,Create Date,Deal Type,Product Family,Deal Owner
OPP-1000,Customer 0,60000,Negotiation,0.75,2026-08-18,2026-05-23,Cross-Sell,Core Platform,Rep One
OPP-1001,Customer 1,5000,Negotiation,0.75,2025-07-31,2025-05-05,Upsell,Core Platform,Rep One
OPP-1002,Customer 2,60000,Discovery,0.1,2026-03-29,2025-12-06,Cross-Sell,Core Platform,Rep Three
OPP-1003,Customer 3,5000,Discovery,0.1,2026-05-28,2026-04-21,New Logo,Core Platform,Rep One
OPP-1004,Customer 4,30000,Discovery,0.1,2026-05-11,2026-02-14,Cross-Sell,Core Platform,Rep Three
OPP-1005,Customer 5,60000,Demo,0.25,2025-09-23,2025-08-24,Cross-Sell,Core Platform,Rep Two
OPP-1006,Customer 6,120000,Proposal,0.5,2026-01-26,2025-12-17,Cross-Sell,Analytics Add-on,Rep Two
OPP-1007,Customer 7,30000,Demo,0.25,2026-05-08,2026-04-05,New Logo,Core Platform,Rep Two
OPP-1008,Customer 8,60000,Discovery,0.1,2025-09-27,2025-08-20,New Logo,Core Platform,Rep One
OPP-1009,Customer 9,60000,Demo,0.25,2025-03-07,2024-12-19,Cross-Sell,Analytics Add-on,Rep Two
OPP-1010,Customer 10,250000,Discovery,0.1,2026-07-23,2026-05-29,Cross-Sell,Analytics Add-on,Rep Two
OPP-1011,Customer 11,30000,Discovery,0.1,2025-10-11,2025-09-10,Upsell,Core Platform,Rep One
OPP-1012,Customer 12,5000,Demo,0.25,2025-03-16,2025-02-07,Upsell,Analytics Add-on,Rep One
OPP-1013,Customer 13,120000,Demo,0.25,2026-03-23,2026-01-28,Cross-Sell,Core Platform,Rep Two
OPP-1014,Customer 14,60000,Negotiation,0.75,2025-05-17,2025-02-23,New Logo,Core Platform,Rep Two
OPP-1015,Customer 15,15000,Proposal,0.5,2025-01-08,2024-11-16,Upsell,Core Platform,Rep One
OPP-1016,Customer 16,60000,Demo,0.25,2025-08-04,2025-06-02,New Logo,Analytics Add-on,Rep Two
OPP-1017,Customer 17,5000,Negotiation,0.75,2025-02-20,2025-01-10,New Logo,Core Platform,Rep One
OPP-1018,Customer 18,120000,Proposal,0.5,2026-02-07,2025-11-11,New Logo,Analytics Add-on,Rep Three
OPP-1019,Customer 19,15000,Demo,0.25,2026-03-16,2025-11-26,New Logo,Analytics Add-on,Rep One
OPP-1020,Customer 20,15000,Demo,0.25,2025-08-27,2025-05-09,Cross-Sell,Core Platform,Rep Three
OPP-1021,Customer 21,120000,Negotiation,0.75,2026-04-14,2026-03-05,Upsell,Core Platform,Rep One
OPP-1022,Customer 22,120000,Discovery,0.1,2025-02-05,2024-12-05,New Logo,Analytics Add-on,Rep Two
OPP-1023,Customer 23,30000,Negotiation,0.75,2026-06-17,2026-03-13,New Logo,Core Platform,Rep One
OPP-1024,Customer 24,120000,Demo,0.25,2026-06-22,2026-03-01,Cross-Sell,Core Platform,Rep Two
OPP-1025,Customer 0,250000,Demo,0.25,2025-06-24,2025-05-23,New Logo,Analytics Add-on,Rep Two
OPP-1026,Customer 1,5000,Negotiation,0.75,2025-08-13,2025-07-09,New Logo,Analytics Add-on,Rep Two
OPP-1027,Customer 2,30000,Demo,0.25,2025-03-17,2025-01-29,Upsell,Analytics Add-on,Rep Three
OPP-1028,Customer 3,5000,Demo,0.25,2025-03-01,2024-12-01,Upsell,Analytics Add-on,Rep One
OPP-1029,Customer 4,60000,Discovery,0.1,2025-02-18,2025-01-11,Cross-Sell,Analytics Add-on,Rep Two
OPP-1030,Customer 5,5000,Demo,0.25,2025-04-06,2025-01-09,Cross-Sell,Analytics Add-on,Rep Three
OPP-1031,Customer 6,30000,Discovery,0.1,2025-05-22,2025-03-08,New Logo,Analytics Add-on,Rep One
OPP-1032,Customer 7,60000,Negotiation,0.75,2025-03-09,2024-11-26,New Logo,Analytics Add-on,Rep Two
OPP-1033,Customer 8,5000,Discovery,0.1,2025-02-18,2025-01-08,Cross-Sell,Core Platform,Rep Two
OPP-1034,Customer 9,60000,Negotiation,0.75,2026-01-26,2025-09-30,Cross-Sell,Analytics Add-on,Rep Two
OPP-1035,Customer 10,5000,Negotiation,0.75,2026-08-08,2026-05-04,Cross-Sell,Core Platform,Rep Two
OPP-1036,Customer 11,5000,Discovery,0.1,2026-05-01,2026-03-03,Cross-Sell,Core Platform,Rep Two
OPP-1037,Customer 12,5000,Negotiation,0.75,2025-09-30,2025-07-15,Upsell,Core Platform,Rep Three
OPP-1038,Customer 13,15000,Demo,0.25,2026-06-22,2026-04-10,Cross-Sell,Analytics Add-on,Rep Two
OPP-1039,Customer 14,60000,Demo,0.25,2026-01-19,2025-09-26,Upsell,Core Platform,Rep Three
OPP-2000,Customer 0,8000,Closed Lost,0.0,2025-02-15,2024-12-06,Upsell,Core Platform,Rep Three
OPP-2001,Customer 1,8000,Closed Lost,0.0,2024-04-17,2024-02-23,Upsell,Analytics Add-on,Rep One
OPP-2002,Customer 2,8000,No Business Awarded,0.0,2024-02-02,2024-01-01,New Logo,Analytics Add-on,Rep Two
OPP-2003,Customer 3,48000,Closed Lost,0.0,2025-04-18,2025-02-03,Upsell,Analytics Add-on,Rep Three
OPP-2004,Customer 4,20000,Closed Lost,0.0,2025-01-01,2024-08-19,New Logo,Core Platform,Rep Two
OPP-2005,Customer 5,90000,No Business Awarded,0.0,2024-01-22,2024-01-01,Upsell,Analytics Add-on,Rep Three
OPP-2006,Customer 6,48000,No Business Awarded,0.0,2024-01-10,2024-01-01,Upsell,Core Platform,Rep One
OPP-2007,Customer 7,2000,Closed Lost,0.0,2024-05-01,2024-03-06,Cross-Sell,Core Platform,Rep Two
OPP-2008,Customer 8,150000,Closed Won,1.0,2024-11-18,2024-06-14,Cross-Sell,Analytics Add-on,Rep One
OPP-2009,Customer 9,48000,No Business Awarded,0.0,2024-04-11,2024-01-31,Upsell,Core Platform,Rep Three
OPP-2010,Customer 10,90000,Closed Won,1.0,2025-01-21,2024-09-03,Cross-Sell,Core Platform,Rep One
OPP-2011,Customer 11,90000,Closed Won,1.0,2024-05-19,2024-02-01,Cross-Sell,Core Platform,Rep Two
OPP-2012,Customer 12,2000,No Business Awarded,0.0,2025-04-08,2025-01-21,Upsell,Analytics Add-on,Rep One
OPP-2013,Customer 13,150000,Closed Lost,0.0,2024-08-20,2024-06-11,New Logo,Analytics Add-on,Rep Three
OPP-2014,Customer 14,20000,No Business Awarded,0.0,2024-11-30,2024-07-05,Upsell,Analytics Add-on,Rep Three
OPP-2015,Customer 15,8000,Closed Won,1.0,2024-02-20,2024-01-01,New Logo,Analytics Add-on,Rep One
OPP-2016,Customer 16,20000,Closed Lost,0.0,2024-10-01,2024-06-21,Cross-Sell,Core Platform,Rep Two
OPP-2017,Customer 17,48000,No Business Awarded,0.0,2024-02-12,2024-01-14,Upsell,Analytics Add-on,Rep Two
OPP-2018,Customer 18,8000,Closed Lost,0.0,2025-04-15,2025-03-19,New Logo,Analytics Add-on,Rep One
OPP-2019,Customer 19,150000,Closed Won,1.0,2024-09-29,2024-06-16,New Logo,Analytics Add-on,Rep One
OPP-2020,Customer 20,150000,No Business Awarded,0.0,2025-04-06,2024-11-05,Cross-Sell,Analytics Add-on,Rep Two
OPP-2021,Customer 21,8000,No Business Awarded,0.0,2025-04-30,2025-03-19,Upsell,Analytics Add-on,Rep Three
OPP-2022,Customer 22,90000,No Business Awarded,0.0,2024-11-23,2024-09-22,Cross-Sell,Analytics Add-on,Rep Two
OPP-2023,Customer 23,20000,No Business Awarded,0.0,2024-07-14,2024-05-02,New Logo,Analytics Add-on,Rep Three
